Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
100129381	LOC100129381	NC_000001.11	+	1735819	1737291	0.000000	0.000000	0.000000
728642	CDK11A	NC_000001.11	-	1702379	1724357	0.340848	529.637634	1093.657349
65220	NADK	NC_000001.11	-	1751232	1780031	0.216340	629.817993	1300.521362
163688	CALML6	NC_000001.11	+	1915260	1917296	0.143194	222.506622	459.457520
2782	GNB1	NC_000001.11	-	1785286	1891087	0.092950	146.705139	302.933807
85452	CFAP74	NC_000001.11	-	1921957	2003786	0.047330	73.545250	151.864777
5590	PRKCZ	NC_000001.11	+	2073664	2185395	0.033009	1293.600830	2671.177246
100506504	PRKCZ-AS1	NC_000001.11	-	2181794	2183875	0.331892	515.721069	1064.920776
199990	FAAP20	NC_000001.11	-	2184477	2212720	0.272951	1171.801270	2419.671387
112268219	LOC112268219	NC_000001.11	+	2189798	2192458	0.738256	1147.162964	2368.795166
11079	RER1	NC_000001.11	+	2391841	2405436	0.098411	152.919113	315.765137
5192	PEX10	NC_000001.11	-	2403974	2413827	0.406713	671.141968	1385.851807
9651	PLCH2	NC_000001.11	+	2467451	2505532	0.000000	0.000000	0.000000
115110	TNFRSF14-AS1	NC_000001.11	-	2549920	2557011	0.017273	26.840208	55.422779
8764	TNFRSF14	NC_000001.11	+	2556371	2563829	0.000000	0.000000	0.000000
100996583	LOC100996583	NC_000001.11	+	2566535	2584534	0.001361	2.114834	4.366954
79906	MORN1	NC_000001.11	-	2321253	2391554	0.096496	149.943420	309.620605
100129534	LOC100129534	NC_000001.11	-	2350414	2352661	0.062776	97.546516	201.425369
127281	PRXL2B	NC_000001.11	+	2586523	2591468	0.000000	0.000000	0.000000
79258	MMEL1	NC_000001.11	-	2590639	2633016	0.035773	55.587029	114.782555
440556	PRDM16-DT	NC_000001.11	-	3059617	3067725	0.012085	18.778667	38.776375
100287898	TTC34	NC_000001.11	-	2636986	2801693	0.037566	58.373142	120.535645
127262	TPRG1L	NC_000001.11	+	3625015	3630127	0.038334	59.566525	122.999878
388588	SMIM1	NC_000001.11	+	3772749	3775956	0.416178	646.691589	1335.364014
148870	CCDC27	NC_000001.11	+	3752450	3771645	0.066264	102.966461	212.617096
57470	LRRC47	NC_000001.11	-	3778559	3796498	0.032776	50.930050	105.166275
106481079	RN7SL574P	NC_000001.11	+	3782815	3783111	0.329966	512.728333	1058.740967
100133612	LINC01134	NC_000001.11	+	3900404	3915447	0.006514	10.121989	20.901058
1677	DFFB	NC_000001.11	+	3857476	3885429	0.220216	982.250916	2028.265869
284661	LINC01777	NC_000001.11	+	4412051	4424684	0.007757	12.053465	24.889395
728716	LINC01346	NC_000001.11	+	3940612	3952583	0.008186	12.720081	26.265902
105376672	LINC01345	NC_000001.11	-	3947149	3948980	0.000000	0.000000	0.000000
105376679	LINC01646	NC_000001.11	+	4571487	4583706	0.032079	49.846989	102.929855
55966	AJAP1	NC_000001.11	+	4654609	4777795	0.088552	137.599380	284.131195
261734	NPHP4	NC_000001.11	-	5862811	5992425	0.059143	432.097351	892.244812
7161	TP73	NC_000001.11	+	3652516	3736201	0.303384	2044.991455	4222.735840
57212	TP73-AS1	NC_000001.11	-	3735984	3747373	0.075944	118.008034	243.676697
102724450	RNF207-AS1	NC_000001.11	-	6204840	6205780	0.104145	161.829071	334.163452
390992	HES3	NC_000001.11	+	6244179	6245578	0.070000	108.771759	224.604568
8514	KCNAB2	NC_000001.11	+	5992676	6101180	0.038858	700.036377	1445.516479
6146	RPL22	NC_000001.11	-	6185020	6199595	0.073957	114.920471	237.301132
11332	ACOT7	NC_000001.11	-	6264272	6385768	0.080814	145.491547	300.427856
54626	HES2	NC_000001.11	-	6415232	6419919	0.041809	64.966263	134.149887
26038	CHD5	NC_000001.11	-	6101787	6180321	0.047450	73.731712	152.249802
3104	ZBTB48	NC_000001.11	+	6579994	6589280	0.094420	146.717560	302.959473
9903	KLHL21	NC_000001.11	-	6590724	6602869	0.161370	250.749985	517.777710
100505887	LINC01672	NC_000001.11	+	6724745	6730012	0.018603	28.906872	59.690266
90326	THAP3	NC_000001.11	+	6624868	6635595	0.379223	932.627686	1925.797974
83715	ESPN	NC_000001.11	+	6424776	6460944	0.157011	243.976624	503.791229
100422975	MIR4252	NC_000001.11	-	6429834	6429896	0.563897	1093.280518	2257.532471
8718	TNFRSF25	NC_000001.11	-	6460786	6466173	0.392168	609.382874	1258.324585
57449	PLEKHG5	NC_000001.11	-	6466092	6520092	0.305717	475.048218	980.934753
63976	PRDM16	NC_000001.11	+	3069203	3438621	0.108402	168.443939	347.822632
100420339	LOC100420339	NC_000001.11	+	3069658	3070697	0.096516	149.974503	309.684784
100422968	MIR4251	NC_000001.11	+	3127975	3128035	0.000000	0.000000	0.000000
9341	VAMP3	NC_000001.11	+	7771296	7781432	0.077340	120.177254	248.155960
10911	UTS2	NC_000001.11	-	7847612	7853491	0.154574	240.189804	495.971802
11315	PARK7	NC_000001.11	+	7961711	7985505	0.091674	142.450607	294.148560
100129776	LOC100129776	NC_000001.11	+	8189826	8192773	0.132972	206.622833	426.658813
102724539	LINC01714	NC_000001.11	+	8208672	8215210	0.014987	23.288034	48.087837
8863	PER3	NC_000001.11	+	7784291	7845177	0.573992	892.736450	1843.425903
50651	SLC45A1	NC_000001.11	+	8318114	8344165	0.467141	725.882080	1498.885742
390993	RPL7AP18	NC_000001.11	-	8057181	8058487	0.208110	323.378448	667.749390
23261	CAMTA1	NC_000001.11	+	6785454	7769706	0.182040	3482.333984	7190.728027
100270828	RPL37P9	NC_000001.11	-	6834282	6834637	1.367977	2125.675049	4389.340820
106481604	RNU1-8P	NC_000001.11	+	7219360	7219524	0.000000	0.000000	0.000000
102725193	CAMTA1-AS2	NC_000001.11	-	7382487	7389754	0.337094	523.804443	1081.612183
100113373	HMGN2P17	NC_000001.11	+	8893411	8894603	0.082146	127.645210	263.576660
2023	ENO1	NC_000001.11	-	8861000	8878686	0.152660	237.215668	489.830475
102465436	MIR6728	NC_000001.11	-	8866502	8866590	0.193680	1163.526855	2402.585449
765	CA6	NC_000001.11	+	8945868	8975092	0.205307	422.377808	872.174805
6518	SLC2A5	NC_000001.11	-	9035106	9072259	0.158821	341.675415	705.531067
106614088	MIR34AHG	NC_000001.11	-	9148011	9182338	0.000359	0.557844	1.151901
407040	MIR34A	NC_000001.11	-	9151668	9151777	0.476883	1155.387573	2385.778564
102724571	LNCTAM34A	NC_000001.11	+	9182204	9192086	0.009916	15.408297	31.816841
100506022	LINC02606	NC_000001.11	-	9425094	9428996	0.025109	39.016430	80.565659
9563	H6PD	NC_000001.11	+	9239847	9271337	0.121870	189.371628	391.036530
199953	TMEM201	NC_000001.11	+	9588911	9604949	0.045631	70.905205	146.413300
644997	PIK3CD-AS1	NC_000001.11	-	9652610	9654586	0.049570	77.025948	159.052109
80176	SPSB1	NC_000001.11	+	9292894	9369532	0.064647	100.453819	207.428711
84275	SLC25A33	NC_000001.11	+	9539465	9585173	0.035733	55.524876	114.654213
642740	RPL9P11	NC_000001.11	+	9576405	9577081	0.048252	74.977928	154.823135
101929074	PIK3CD-AS2	NC_000001.11	-	9672426	9687574	0.006469	10.052064	20.756670
5293	PIK3CD	NC_000001.11	+	9689544	9729114	0.181833	282.700897	583.753662
22883	CLSTN1	NC_000001.11	-	9729021	9824526	0.203744	318.449524	657.571594
106480302	MZT1P1	NC_000001.11	+	9780822	9781440	0.000000	0.000000	0.000000
56998	CTNNBIP1	NC_000001.11	-	9848276	9910269	0.098923	153.714691	317.407959
116362	RBP7	NC_000001.11	+	9997228	10016021	0.107481	167.012817	344.867462
84328	LZIC	NC_000001.11	-	9922118	9943391	0.348335	726.603088	1500.374512
64802	NMNAT1	NC_000001.11	+	9942923	9985498	0.011507	260.062408	537.007019
106480915	RN7SKP269	NC_000001.11	+	9947318	9947562	0.000000	0.000000	0.000000
113391335	TMEM274P	NC_000001.11	-	9950572	9960787	0.091132	141.608398	292.409485
100847055	MIR5697	NC_000001.11	+	9967381	9967458	0.000000	0.000000	0.000000
10277	UBE4B	NC_000001.11	+	10032958	10181239	0.119419	185.563065	383.172180
100270877	RPL21P21	NC_000001.11	-	10054412	10054781	0.529730	823.138062	1699.711060
100420660	PGAM1P11	NC_000001.11	+	10058673	10059654	0.149695	232.608398	480.316864
106479932	RNU6-828P	NC_000001.11	+	10163268	10163374	0.000000	0.000000	0.000000
473	RERE	NC_000001.11	-	8352404	8817640	0.124873	194.037933	400.672089
102724552	RERE-AS1	NC_000001.11	+	8424645	8435016	0.122638	190.565018	393.500763
106632271	SNORD128	NC_000001.11	-	8494800	8494913	0.000000	0.000000	0.000000
124900452	LOC124900452	NC_000001.11	-	8511795	8511919	0.012735	19.788691	40.861988
100270823	RPL7P11	NC_000001.11	+	8750410	8751091	0.071848	111.643333	230.534119
644896	RPL7P7	NC_000001.11	-	8786129	8786951	0.039692	61.676693	127.357201
100128662	RPL27P3	NC_000001.11	+	8798438	8799557	0.175000	271.929382	561.511414
5226	PGD	NC_000001.11	+	10399064	10420511	0.187337	291.099640	601.096375
1676	DFFA	NC_000001.11	-	10456522	10472529	0.103303	160.520706	331.461792
378708	CENPS	NC_000001.11	+	10430433	10442808	0.355424	552.287048	1140.426514
100526739	CENPS-CORT	NC_000001.11	+	10430433	10452153	0.033320	51.775352	106.911774
1325	CORT	NC_000001.11	+	10450031	10451998	0.165989	257.927338	532.598389
106480259	HSPE1P24	NC_000001.11	+	10895761	10895998	0.411765	639.834351	1321.204224
54897	CASZ1	NC_000001.11	-	10647211	10796646	0.060186	93.521957	193.115005
390996	CFL1P6	NC_000001.11	-	10989810	10991829	0.048515	75.386597	155.667007
6723	SRM	NC_000001.11	-	11054589	11060018	0.036096	56.088936	115.818947
5394	EXOSC10	NC_000001.11	-	11066618	11099869	0.005513	8.566553	17.689213
105376736	EXOSC10-AS1	NC_000001.11	+	11099675	11102105	0.000000	0.000000	0.000000
23095	KIF1B	NC_000001.11	+	10210570	10381603	0.239096	371.527039	767.172180
106478920	RNU6-37P	NC_000001.11	+	10298966	10299070	0.131973	205.070511	423.453400
107048981	RN7SL731P	NC_000001.11	+	10306465	10306757	0.111490	173.242340	357.730896
148345	C1orf127	NC_000001.11	-	10946475	10982076	0.196636	320.564362	661.938538
29914	UBIAD1	NC_000001.11	+	11273198	11299574	0.229395	356.452820	736.045166
100421341	UBE2V2P3	NC_000001.11	-	11278414	11279275	0.491879	764.322021	1578.260986
2475	MTOR	NC_000001.11	-	11106535	11262551	0.220013	341.874298	705.941772
100873935	MTOR-AS1	NC_000001.11	+	11143898	11149538	0.096082	149.300110	308.292236
106479804	RNU6-537P	NC_000001.11	+	11152350	11152413	0.000000	0.000000	0.000000
124904848	LOC124904848	NC_000001.11	-	11169507	11169613	0.242991	377.579407	779.669800
106479696	RNU6-291P	NC_000001.11	+	11226254	11226360	0.000000	0.000000	0.000000
100270891	RPL39P6	NC_000001.11	+	11232910	11233313	0.000000	0.000000	0.000000
26232	FBXO2	NC_000001.11	-	11648387	11654429	0.064868	100.797241	208.137848
93611	FBXO44	NC_000001.11	+	11654407	11663327	0.579309	1079.123047	2228.298584
10459	MAD2L2	NC_000001.11	-	11674480	11691559	0.065443	101.690720	209.982803
57085	AGTRAP	NC_000001.11	+	11736136	11750769	0.363416	564.705688	1166.069824
4524	MTHFR	NC_000001.11	-	11785723	11803537	0.088651	137.753220	284.448853
4879	NPPB	NC_000001.11	-	11857464	11858945	0.066127	102.753578	212.177505
390997	SBF1P2	NC_000001.11	+	11877769	11880758	0.196656	305.580261	630.997620
90231	KIAA2013	NC_000001.11	-	11919591	11926427	0.057335	89.091843	183.967178
1185	CLCN6	NC_000001.11	+	11806191	11843130	0.000000	0.000000	0.000000
100379251	NPPA-AS1	NC_000001.11	+	11840319	11847616	0.097698	151.811188	313.477386
4878	NPPA	NC_000001.11	-	11845709	11847783	0.000000	0.000000	0.000000
9927	MFN2	NC_000001.11	+	11980444	12013508	0.077898	121.044319	249.946381
5351	PLOD1	NC_000001.11	+	11934717	11975537	0.109233	169.735214	350.489014
943	TNFRSF8	NC_000001.11	+	12063303	12144207	0.087762	136.371811	281.596375
106481426	RNU6-777P	NC_000001.11	-	12077881	12077984	0.000000	0.000000	0.000000
106480336	RPL23AP89	NC_000001.11	-	12080250	12080546	0.000000	0.000000	0.000000
9249	DHRS3	NC_000001.11	-	12567910	12616789	0.380105	678.337952	1400.711060
106479551	RNU6ATAC18P	NC_000001.11	-	12569972	12570072	0.000000	0.000000	0.000000
102466722	MIR6730	NC_000001.11	-	12578957	12579023	0.000000	0.000000	0.000000
126767	AADACL3	NC_000001.11	+	12716110	12728760	0.091376	141.987549	293.192383
390999	PRAMEF12	NC_000001.11	+	12773738	12777906	0.070521	109.581329	226.276260
93190	CFAP107	NC_000001.11	+	12746200	12763699	0.106400	165.333069	341.398926
65121	PRAMEF1	NC_000001.11	+	12791397	12796628	0.075860	117.877510	243.407166
441870	PRAMEF30P	NC_000001.11	-	12838470	12841383	0.016815	26.128531	53.953224
343069	HNRNPCL1	NC_000001.11	-	12847377	12848720	0.054018	83.937614	173.324127
400735	PRAMEF4	NC_000001.11	-	12879212	12886201	0.009892	15.371003	31.739834
343071	PRAMEF10	NC_000001.11	-	12892896	12898270	0.035098	54.538158	112.616730
441871	PRAMEF7	NC_000001.11	+	12916610	12920751	0.058426	90.787125	187.467804
729356	PRAMEF29P	NC_000001.11	+	12926162	12928882	0.024011	37.310268	77.042572
440561	PRAMEF6	NC_000001.11	-	12938472	12947580	0.020800	32.320751	66.739639
101929983	PRAMEF27	NC_000001.11	-	13049476	13056575	0.009469	14.713711	30.382580
649330	HNRNPCL3	NC_000001.11	+	13060769	13062878	0.015498	24.082067	49.727451
440563	HNRNPCL2	NC_000001.11	-	13115488	13116854	0.017264	26.826223	55.393902
441873	PRAMEF25	NC_000001.11	+	13070774	13077884	0.014405	22.383675	46.220409
101060301	HNRNPCL4	NC_000001.11	-	13163914	13165631	0.013853	21.525930	44.449242
645359	PRAMEF26	NC_000001.11	-	13148907	13156009	0.011662	18.121374	37.419121
343070	PRAMEF9	NC_000001.11	+	13171848	13179459	0.019704	30.617697	63.222977
391003	PRAMEF18	NC_000001.11	-	13222695	13226154	0.035084	54.516407	112.571808
650236	PRAMEF32P	NC_000001.11	-	13272907	13275627	0.024011	37.310268	77.042572
343068	PRAMEF5	NC_000001.11	+	13254198	13263435	0.023869	37.089615	76.586945
391002	PRAMEF8	NC_000001.11	-	13281304	13285137	0.000000	0.000000	0.000000
645382	PRAMEF33	NC_000001.11	+	13303539	13308907	0.009126	14.180730	29.282017
653619	PRAMEF15	NC_000001.11	+	13315581	13322598	0.046780	72.690613	150.100021
729528	PRAMEF14	NC_000001.11	-	13341892	13347134	0.015888	24.688082	50.978817
645414	PRAMEF19	NC_000001.11	-	13368431	13371947	0.033089	51.416409	106.170578
391004	PRAMEF17	NC_000001.11	+	13389632	13392629	0.065377	101.588158	209.771027
645425	PRAMEF20	NC_000001.11	+	13410450	13421328	0.133009	206.680328	426.777557
10630	PDPN	NC_000001.11	+	13583757	13617957	0.031078	422.071716	871.542725
55187	VPS13D	NC_000001.11	+	12230030	12512047	0.120893	187.853485	387.901703
124904680	LOC124904680	NC_000001.11	-	12409168	12409251	0.000000	0.000000	0.000000
677885	SNORA59A	NC_000001.11	+	12507246	12507397	0.000000	0.000000	0.000000
7799	PRDM2	NC_000001.11	+	13700188	13825079	0.275596	1081.525269	2233.259277
105376762	KAZN-AS1	NC_000001.11	-	14348955	14419973	0.012419	19.297665	39.848057
200197	TMEM51-AS1	NC_000001.11	-	15111815	15152464	0.007232	11.237677	23.204861
23254	KAZN	NC_000001.11	+	14598685	15068155	0.083040	1348.564697	2784.673096
494541	TBCAP2	NC_000001.11	-	14691937	14692400	0.000000	0.000000	0.000000
55092	TMEM51	NC_000001.11	+	15152566	15220478	0.017610	810.756714	1674.144653
727684	TMEM51-AS2	NC_000001.11	-	15164192	15171624	0.378986	588.899658	1216.028320
100420251	MFFP1	NC_000001.11	-	15191757	15193125	0.189920	295.113312	609.384277
100421184	ZBTB2P1	NC_000001.11	+	15226364	15227243	0.111364	173.046539	357.326599
63036	CELA2A	NC_000001.11	+	15456732	15472091	0.020736	32.221302	66.534286
51032	CELA2B	NC_000001.11	+	15476104	15491395	0.081709	126.966164	262.174500
114827	FHAD1	NC_000001.11	+	15247225	15398127	0.082912	128.835480	266.034485
101927417	FHAD1-AS1	NC_000001.11	-	15326680	15343883	0.039874	61.959503	127.941177
842	CASP9	NC_000001.11	-	15491401	15524790	0.204945	341.215454	704.581299
645317	CHCHD2P6	NC_000001.11	+	15604528	15605314	0.124524	193.495636	399.552277
935	CD24P1	NC_000001.11	-	15609982	15614946	0.019738	30.670528	63.332069
110806303	SLC25A34-AS1	NC_000001.11	-	15740051	15749890	0.049797	77.378677	159.780472
388595	TMEM82	NC_000001.11	+	15742499	15747982	0.043581	67.719742	139.835587
729500	RPL12P14	NC_000001.11	+	15792727	15793339	0.159869	248.417618	512.961548
23341	DNAJC16	NC_000001.11	+	15526848	15571733	0.166207	258.266113	533.297852
107397391	SCARNA21B	NC_000001.11	+	15542166	15542304	0.019087	29.658951	61.243248
79814	AGMAT	NC_000001.11	-	15571699	15585051	0.073242	113.809448	235.006958
54751	FBLIM1	NC_000001.11	+	15756638	15786589	0.113810	484.947998	1001.376953
84301	DDI2	NC_000001.11	+	15617458	15669044	0.062367	96.910973	200.113037
6248	RSC1A1	NC_000001.11	+	15659713	15662033	0.023553	36.598591	75.573021
149563	SRARP	NC_000001.11	+	16004236	16008807	0.064304	99.920845	206.328171
7709	ZBTB17	NC_000001.11	-	15941869	15976101	0.520411	815.148010	1683.212280
27129	HSPB7	NC_000001.11	-	16014029	16019594	0.595760	925.740906	1911.577393
729614	SPEN-AS1	NC_000001.11	-	15834215	15848147	0.007034	10.930008	22.569550
23013	SPEN	NC_000001.11	+	15847707	15940456	0.051181	79.529251	164.221222
124904815	LOC124904815	NC_000001.11	+	15910897	15910997	0.000000	0.000000	0.000000
440568	FAM131C2P	NC_000001.11	-	16034510	16040031	0.066552	103.413971	213.541183
1187	CLCNKA	NC_000001.11	+	16022036	16034050	0.193134	300.107483	619.696838
1188	CLCNKB	NC_000001.11	+	16043782	16057326	0.114175	177.414505	366.346069
348487	FAM131C	NC_000001.11	-	16057769	16073651	0.032393	50.334911	103.937370
1969	EPHA2	NC_000001.11	-	16124337	16156069	0.136806	212.580414	438.960724
107985757	TRN-GTT5-1	NC_000001.11	-	16520585	16520658	0.662162	1028.921753	2124.637207
7195	TRG-CCC1-1	NC_000001.11	-	16545939	16546009	0.191549	297.644592	614.611145
100421267	PDE4DIPP8	NC_000001.11	-	16548651	16551230	0.022158	34.430923	71.096970
280661	EIF1AXP1	NC_000001.11	-	16683091	16686249	0.015511	24.102268	49.769161
100132147	LINC01783	NC_000001.11	-	16533891	16535652	0.000000	0.000000	0.000000
106480152	RNU1-6P	NC_000001.11	-	16534081	16534224	0.000000	0.000000	0.000000
107985758	TRE-TTC4-1	NC_000001.11	-	16535279	16535350	0.111111	172.653412	356.514832
107984921	LINC01772	NC_000001.11	+	16460948	16468481	0.009756	15.159676	31.303459
114819	CROCCP3	NC_000001.11	-	16467436	16492701	0.000000	0.000000	0.000000
100421279	PDE4DIPP9	NC_000001.11	+	16856711	16859284	0.041246	64.091431	132.343430
100500876	MIR3675	NC_000001.11	-	16858949	16859021	0.000000	0.000000	0.000000
100189298	TRG-CCC1-2	NC_000001.11	+	16861921	16861991	0.191549	297.644592	614.611145
112267871	LOC112267871	NC_000001.11	+	16872226	16874096	0.000000	0.000000	0.000000
7193	TRE-TTC3-1	NC_000001.11	+	16872583	16872654	0.111111	172.653412	356.514832
107105261	RNU1-5P	NC_000001.11	+	16873708	16873851	0.000000	0.000000	0.000000
26099	SZRD1	NC_000001.11	+	16367242	16398145	0.204019	317.021484	654.622803
729662	RPL22P3	NC_000001.11	-	16369093	16369551	0.224401	348.692719	720.021240
374955	SPATA21	NC_000001.11	-	16395677	16437424	0.067308	125.864464	259.899567
101927876	LINC01654	NC_000001.11	+	18065657	18074412	0.011192	17.391050	35.911060
100506730	LOC100506730	NC_000001.11	-	19293247	19295736	0.025703	39.939434	82.471588
117779438	LOC117779438	NC_000001.11	+	20154214	20160568	0.015421	23.962418	49.480385
101927895	EMC1-AS1	NC_000001.11	+	19210386	19240704	0.016161	25.112291	51.854774
23065	EMC1	NC_000001.11	-	19215660	19251524	0.005465	8.491966	17.535198
441878	RPS4XP4	NC_000001.11	+	20525952	20526814	0.113557	176.454208	364.363159
339505	LINC01141	NC_000001.11	-	20359801	20428794	0.007102	11.035672	22.787737
100421269	PDE4DIPP10	NC_000001.11	-	21411456	21411990	0.183178	284.637054	587.751648
343381	NBPF2P	NC_000001.11	-	21423108	21427960	0.070678	109.825294	226.780014
84224	NBPF3	NC_000001.11	+	21440137	21484900	0.000000	0.000000	0.000000
767853	PFN1P10	NC_000001.11	-	21459424	21460202	0.000000	0.000000	0.000000
8672	EIF4G3	NC_000001.11	-	20806292	21176897	0.000000	0.000000	0.000000
106480835	RNU7-200P	NC_000001.11	+	20841241	20841302	0.564516	877.191467	1811.326660
100302155	MIR1256	NC_000001.11	-	20988314	20988432	0.000000	0.000000	0.000000
100271141	RPS15AP6	NC_000001.11	-	21003511	21003964	0.000000	0.000000	0.000000
106480261	HSPE1P27	NC_000001.11	+	21161475	21162081	0.141680	220.154037	454.599640
84196	USP48	NC_000001.11	-	21678298	21783149	0.000000	0.000000	0.000000
124904736	LOC124904736	NC_000001.11	+	21741140	21741195	0.875000	1359.646973	2807.557129
101928043	LINC01635	NC_000001.11	-	22023994	22026048	0.000000	0.000000	0.000000
29092	LINC00339	NC_000001.11	+	22025191	22031224	0.032483	50.474758	104.226143
391019	RPL29P6	NC_000001.11	+	23244729	23245346	0.066343	103.089218	212.870575
80818	ZNF436	NC_000001.11	-	23359448	23369836	0.000000	0.000000	0.000000
148898	ZNF436-AS1	NC_000001.11	+	23368971	23371839	0.017079	26.538755	54.800304
101928163	LOC101928163	NC_000001.11	+	23521930	23528419	0.015100	23.463623	48.450413
259283	MDS2	NC_000001.11	+	23627334	23640568	0.029618	46.022884	95.033401
284632	LINC02800	NC_000001.11	+	24200240	24211690	0.025675	39.895927	82.381744
6924	ELOA	NC_000001.11	+	23743471	23762059	0.000000	0.000000	0.000000
